20221231	00:07:02	a93a6d1d-5357-4892-a8e3-62e1610e7cf2	Error: Not allowed by CORS	OPTIONS	/	https://www.google.com
20221231	00:07:02	076c29bb-d913-43fa-bb49-181a005c1311	Error: Not allowed by CORS	GET	/	https://www.google.com
20221231	00:07:26	89f2ad70-9fb2-401e-8f13-91526382ef33	Error: Not allowed by CORS	OPTIONS	/	https://www.google.com
20221231	00:07:26	fb374f96-08fd-460f-b068-38d3ce26b79e	Error: Not allowed by CORS	GET	/	https://www.google.com
20230102	18:34:04	e781a3b8-88e4-41fe-82fb-363c3dd3088f	ValidationError: User validation failed: age: Path `age` is required., fullName: Path `fullName` is required., phoneNumber: Path `phoneNumber` (9203015014) is more than maximum allowed value (9).	POST	/users	undefined
20230102	18:35:44	4c7c445d-a458-4f40-8f8c-7f3fb449b621	ValidationError: User validation failed: age: Path `age` is required., fullName: Path `fullName` is required., phoneNumber: Path `phoneNumber` (9203015014) is more than maximum allowed value (16).	POST	/users	undefined
20230102	18:37:05	4441052c-3ecd-42b2-a2ad-06e18f55735b	ValidationError: User validation failed: age: Path `age` is required., fullName: Path `fullName` is required., phoneNumber: Path `phoneNumber` (9203015014) is more than maximum allowed value (16).	POST	/users	undefined
20230102	18:38:29	cc367d62-dd34-42b9-8d3c-b63152d26d2d	ValidationError: User validation failed: age: Path `age` is required., fullName: Path `fullName` is required.	POST	/users	undefined
20230102	19:57:15	a57cb770-6a34-418c-9093-0aeaf735734e	ValidationError: User validation failed: fullName: Path `fullName` is required., age: Path `age` is required.	POST	/users	undefined
20230102	20:15:05	95ba57e4-9ac4-4395-9f8e-584e746daa71	ValidationError: User validation failed: gender: لطفا جنسیت خود را وارد کنید, fullName: لطفا نام و نام خانوادگی را وارد کنید, age: لطفا سن خود را وارد کنید	POST	/users	undefined
20230102	20:16:08	1ebc9f69-1d85-4ee1-b742-3430efbb8f21	ValidationError: User validation failed: gender: لطفا جنسیت خود را وارد کنید, fullName: لطفا نام و نام خانوادگی را وارد کنید, age: لطفا سن خود را وارد کنید	POST	/users	undefined
20230102	20:20:39	76b8240f-c58e-45b1-b617-fd8f807b74eb	ValidationError: User validation failed: fullName: لطفا نام و نام خانوادگی را وارد کنید, age: لطفا سن خود را وارد کنید, gender: لطفا جنسیت خود را وارد کنید	POST	/users	undefined
20230102	20:27:54	c45c55a3-3947-4020-a7a1-eda3e07740b9	ValidationError: User validation failed: fullName: لطفا نام و نام خانوادگی را وارد کنید, age: لطفا سن خود را وارد کنید, gender: لطفا جنسیت خود را وارد کنید	POST	/users	undefined
